"","AGE1","PRDTRACE","PRDASIAN","A_MJOCC","PEIO1COW","PH_SEQ","GEDIV","GEREG","GESTFIPS","HEFAMINC","H_TYPEBC","H_YEAR","H_MONTH"
"42281",5,2,-1,3,4,22984,3,2,26,7,0,2019,3
"42282",7,2,-1,3,4,22984,3,2,26,7,0,2019,3
"42283",0,2,-1,0,0,22984,3,2,26,7,0,2019,3
"42284",13,2,-1,0,0,22985,3,2,26,3,0,2019,3
"42285",15,2,-1,0,0,22986,3,2,26,7,0,2019,3
"42286",11,2,-1,0,0,22986,3,2,26,7,0,2019,3
"42287",17,2,-1,0,0,22987,3,2,26,6,0,2019,3
"42288",15,2,-1,0,0,22988,3,2,26,4,0,2019,3
"42289",14,2,-1,0,0,22992,3,2,26,8,0,2019,3
"42290",10,2,-1,3,7,22992,3,2,26,8,0,2019,3
"42291",11,2,-1,4,6,22992,3,2,26,8,0,2019,3
"42292",15,2,-1,0,0,22993,3,2,26,15,0,2019,3
"42293",15,2,-1,0,0,22993,3,2,26,15,0,2019,3
"42294",8,2,-1,2,4,22993,3,2,26,15,0,2019,3
"42295",6,2,-1,0,0,22994,3,2,26,1,0,2019,3
"42296",0,2,-1,0,0,22994,3,2,26,1,0,2019,3
"42297",0,2,-1,0,0,22994,3,2,26,1,0,2019,3
"42298",8,1,-1,0,0,22995,3,2,26,6,0,2019,3
"42299",2,1,-1,0,0,22995,3,2,26,6,0,2019,3
"42300",0,1,-1,0,0,22995,3,2,26,6,0,2019,3
"42301",6,2,-1,3,5,22996,3,2,26,1,0,2019,3
"42302",0,2,-1,0,0,22996,3,2,26,1,0,2019,3
"42303",0,2,-1,0,0,22996,3,2,26,1,0,2019,3
"42304",15,2,-1,0,0,22997,3,2,26,14,0,2019,3
"42305",14,2,-1,0,0,22997,3,2,26,14,0,2019,3
"42306",10,2,-1,2,2,22998,3,2,26,12,0,2019,3
"42307",0,2,-1,0,0,22998,3,2,26,12,0,2019,3
"42308",0,2,-1,0,0,22998,3,2,26,12,0,2019,3
"42309",6,3,-1,9,4,22999,3,2,26,13,0,2019,3
"42310",6,1,-1,2,5,22999,3,2,26,13,0,2019,3
"42311",6,1,-1,0,0,23000,3,2,26,12,0,2019,3
"42312",7,1,-1,5,1,23000,3,2,26,12,0,2019,3
"42313",0,1,-1,0,0,23000,3,2,26,12,0,2019,3
"42314",11,2,-1,3,4,23001,3,2,26,9,0,2019,3
"42315",9,2,-1,5,3,23002,3,2,26,5,0,2019,3
"42316",9,2,-1,1,3,23002,3,2,26,5,0,2019,3
"42317",6,2,-1,5,3,23003,3,2,26,4,0,2019,3
"42318",6,2,-1,10,4,23004,3,2,26,1,0,2019,3
"42319",0,2,-1,0,0,23004,3,2,26,1,0,2019,3
"42320",0,2,-1,0,0,23004,3,2,26,1,0,2019,3
"42321",10,2,-1,3,4,23005,3,2,26,4,0,2019,3
"42322",3,2,-1,4,4,23005,3,2,26,4,0,2019,3
"42323",3,2,-1,3,4,23005,3,2,26,4,0,2019,3
"42324",15,2,-1,5,4,23006,3,2,26,11,0,2019,3
"42325",16,2,-1,0,0,23007,3,2,26,12,0,2019,3
